"dbn","school_name","school_type","enrollment","survey_pp_RI","survey_pp_CT","survey_pp_SE","survey_pp_ES","survey_pp_SF","survey_pp_TR","QR_1_1","QR_1_2","QR_2_2","QR_3_4","QR_4_2","QR_1_4","QR_1_3","QR_3_1","QR_4_1","QR_5_1","Dates_of_Review","rating_ela_grade_8_pct_rs","rating_mth_grade_8_pct_rs","gender_female_pct","gender_male_pct","ELL","IEP","cap_sc_pct"
"17K546","High School for Public Service: Heroes of Tomorrow","High School","475","0.76","0.88","0.66","0.87","0.97","0.9","Proficient","Proficient","Proficient","Proficient","Developing","Well Developed","Well Developed","Proficient","Developing","Developing","2018-05-01T00:00:00.000","3.1","2.85","0.648","0.352","0.011","0.194","0.053"
"17K547","Brooklyn Academy of Science and the Environment","High School","342","0.85","0.88","0.83","0.92","0.86","0.95","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2018-03-01T00:00:00.000","2.78","2.67","0.409","0.591","0.056","0.161","0.003"
"17K548","Brooklyn School for Music & Theatre","High School","278","0.67","0.9","0.62","0.91","0.84","0.9","Proficient","Developing","Proficient","Proficient","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","2017-03-01T00:00:00.000","2.66","2.36","0.687","0.313","0.025","0.209","0.004"
"17K590","Medgar Evers College Preparatory School","High School","895","0.78","0.82","0.57","0.88","0.95","0.82","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Proficient","2018-11-01T00:00:00.000","3.64","3.67","0.581","0.419","0.003","0.084","0.002"
"17K600","Clara Barton High School","High School","1,253","0.69","0.75","0.56","0.76","0.79","0.8","Proficient","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2016-12-01T00:00:00.000","2.86","2.56","0.771","0.229","0.07","0.172","0.061"
"17K745","Brooklyn Institute for Liberal Arts","High School","461","No Data","No Data","No Data","0.74","0.86","0.86","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","2018-04-01T00:00:00.000","2.82","2.53","0.547","0.453","0.039","0.204","0.009"
"17K751","Academy for Health Careers","High School","277","0.82","0.84","0.79","0.89","0.92","0.96","Proficient","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Developing","Well Developed","Proficient","2017-03-01T00:00:00.000","2.77","2.5","0.736","0.264","0.036","0.148","0.032"
"18K563","It Takes a Village Academy","High School","620","0.86","0.85","0.92","0.85","0.91","0.85","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-02-25T00:00:00.000","2.79","2.64","0.429","0.571","0.152","0.158","0.024"
"18K566","Brooklyn Community High School for Excellence and","High School","204","0.67","0.74","0.65","0.78","0.88","0.85","Well Developed","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Proficient","Proficient","2017-05-01T00:00:00.000","2.52","2.2","0.324","0.676","0.113","0.221","0"
"18K567","Brooklyn Theatre Arts High School","High School","338","0.59","0.79","0.65","0.54","0.77","0.8","Developing","Developing","Developing","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Developing","2017-10-01T00:00:00.000","2.65","2.31","0.586","0.414","0.027","0.192","0.006"
"18K569","Kurt Hahn Expeditionary Learning School","High School","259","0.66","0.92","0.64","No Data","No Data","0.78","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2018-12-01T00:00:00.000","2.47","2.19","0.328","0.672","0.062","0.309","0.039"
"18K576","Victory Collegiate High School","High School","307","0.71","0.68","0.66","0.77","0.89","0.86","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","No Data","No Data","No Data","No Data","No Data","2015-05-13T00:00:00.000","2.58","2.29","0.45","0.55","0.055","0.208","0.013"
"18K617","High School for Innovation in Advertising and Medi","High School","208","0.78","0.75","0.84","0.62","0.83","0.81","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","2016-10-01T00:00:00.000","2.56","2.4","0.207","0.793","0.048","0.231","0.058"
"18K629","Cultural Academy for the Arts and Sciences","High School","251","0.64","0.79","0.69","0.86","0.89","0.85","Proficient","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Developing","2017-05-01T00:00:00.000","2.58","2.34","0.486","0.514","0.08","0.211","0.004"
"18K633","High School for Medical Professions","High School","454","0.7","0.81","0.65","0.82","0.84","0.86","Well Developed","Proficient","Proficient","Proficient","Proficient","No Data","No Data","No Data","No Data","No Data","2016-03-17T00:00:00.000","2.82","2.59","0.659","0.341","0.053","0.143","0"
"18K637","Academy for Conservation and the Environment","High School","306","0.8","0.95","0.75","0.98","0.96","0.95","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","2019-05-01T00:00:00.000","2.68","2.35","0.373","0.627","0.098","0.186","0.007"
"18K642","Urban Action Academy","High School","209","0.72","0.82","0.58","0.93","0.91","0.95","Proficient","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2017-03-01T00:00:00.000","2.41","2.19","0.373","0.627","0.191","0.187","0.024"
"19K404","Academy for Young Writers","High School","339","0.74","0.9","0.71","0.93","0.89","0.92","Proficient","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","2018-03-01T00:00:00.000","2.89","2.35","0.608","0.392","0.038","0.209","0.009"
"19K409","East New York Family Academy","High School","306","0.77","0.83","0.68","0.86","0.83","0.82","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Proficient","2018-03-01T00:00:00.000","2.79","2.68","0.467","0.533","0.029","0.225","0.003"
"19K422","Spring Creek Community School","High School","320","0.72","0.89","0.64","0.78","0.81","0.77","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Well Developed","2018-02-01T00:00:00.000","2.72","2.49","0.444","0.556","0.022","0.234","0.006"
"19K502","FDNY - Captain Vernon A. Richard High School for F","High School","269","0.85","0.93","0.76","0.93","0.81","0.94","Developing","Developing","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2018-03-01T00:00:00.000","2.45","2.16","0.245","0.755","0.03","0.323","0.037"
"19K504","High School for Civil Rights","High School","233","0.82","0.89","0.73","0.96","0.93","0.93","Proficient","Developing","Developing","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Developing","2016-12-01T00:00:00.000","2.32","2.25","0.425","0.575","0.15","0.3","0.004"
"19K507","Performing Arts and Technology High School","High School","379","0.78","0.76","0.83","0.79","0.83","0.89","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Proficient","Proficient","2019-05-01T00:00:00.000","2.58","2.3","0.607","0.393","0.164","0.235","0.042"
"19K510","World Academy for Total Community Health High Scho","High School","199","0.76","0.87","0.68","0.87","0.86","0.86","Developing","Developing","Developing","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","2016-12-01T00:00:00.000","2.49","2.29","0.568","0.432","0.146","0.216","0"
"19K583","Multicultural High School","High School","299","0.87","0.81","0.71","0.85","0.95","0.88","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2018-05-01T00:00:00.000","1.82","1.94","0.458","0.542","0.833","0.01","0"
"19K615","Transit Tech Career and Technical Education High S","High School","715","0.78","0.77","0.61","0.78","0.87","0.82","Proficient","Developing","Proficient","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","Proficient","2016-11-01T00:00:00.000","2.58","2.35","0.145","0.855","0.066","0.263","0"
"19K618","Academy of Innovative Technology","High School","445","0.87","0.87","0.79","0.89","0.93","0.9","Proficient","Developing","Developing","Proficient","Developing","Well Developed","Well Developed","Proficient","Proficient","Proficient","2020-03-01T00:00:00.000","2.73","2.58","0.202","0.798","0.085","0.227","0.007"
"19K639","Brooklyn Lab School","High School","437","0.71","0.84","0.69","0.83","0.91","0.86","Proficient","Proficient","Proficient","Proficient","Developing","Well Developed","Proficient","Proficient","Proficient","Proficient","2020-02-01T00:00:00.000","2.5","2.27","0.373","0.627","0.27","0.197","0.007"
"19K659","Cypress Hills Collegiate Preparatory School","High School","348","0.84","0.77","0.66","0.77","0.88","0.7","Proficient","Proficient","Proficient","Proficient","Well Developed","Well Developed","Proficient","Proficient","Proficient","Proficient","2017-04-01T00:00:00.000","2.53","2.38","0.463","0.537","0.175","0.187","0"
"19K660","W. H. Maxwell Career and Technical Education High","High School","396","0.78","0.93","0.7","0.96","0.99","0.9","Proficient","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2018-03-01T00:00:00.000","2.51","2.26","0.677","0.323","0.111","0.351","0.023"
"19K683","School for Classics High School","High School","264","0.77","0.89","0.73","0.88","0.88","0.92","Developing","Developing","Developing","Proficient","Under Developed","Proficient","Proficient","Developing","Proficient","Developing","2019-04-01T00:00:00.000","2.5","2.18","0.53","0.47","0.277","0.189","0"
"19K764","The Urban Assembly School for Collaborative Health","High School","335","0.75","0.83","0.69","0.86","0.87","0.88","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2016-10-01T00:00:00.000","2.81","2.45","0.612","0.388","0.143","0.122","0"
"20K445","New Utrecht High School","High School","3,480","0.77","0.86","0.79","0.88","0.8","0.9","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2018-04-01T00:00:00.000","2.86","3.02","0.435","0.565","0.188","0.158","0.047"
"20K485","High School of Telecommunication Arts and Technolo","High School","1,225","0.82","0.85","0.8","0.86","0.86","0.89","Well Developed","Proficient","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","2017-03-01T00:00:00.000","3.03","3.11","0.415","0.585","0.069","0.181","0.02"
"20K490","Fort Hamilton High School","High School","4,657","0.78","0.88","0.7","0.9","0.8","0.89","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Proficient","2017-06-01T00:00:00.000","3.08","3.12","0.475","0.525","0.146","0.144","0.038"
"20K505","Franklin Delano Roosevelt High School","High School","3,300","0.72","0.72","0.64","0.69","0.76","0.79","Proficient","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2017-05-01T00:00:00.000","2.76","2.81","0.411","0.589","0.276","0.149","0.05"
"20K609","Urban Assembly School for Criminal Justice","High School","326","0.89","0.84","0.79","0.84","0.8","0.83","Well Developed","Proficient","Proficient","Well Developed","Proficient","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2019-02-01T00:00:00.000","3.06","3","1","0","0.117","0.135","0.003"
"21K337","International High School at Lafayette","High School","365","0.71","0.94","0.8","0.98","0.86","0.95","Well Developed","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2017-10-01T00:00:00.000","1.88","2.4","0.419","0.581","0.833","0.019","0"
"21K344","Rachel Carson High School for Coastal Studies","High School","619","0.8","0.81","0.73","0.73","0.8","0.81","Proficient","Proficient","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","Proficient","2017-10-01T00:00:00.000","2.87","2.77","0.447","0.553","0.194","0.16","0"
"21K348","High School of Sports Management","High School","269","No Data","No Data","No Data","No Data","No Data","No Data","Developing","Developing","Developing","Proficient","Proficient","Proficient","Proficient","Proficient","Developing","Proficient","2017-05-01T00:00:00.000","2.56","2.46","0.216","0.784","0.167","0.223","0.004"
"21K410","Abraham Lincoln High School","High School","1,837","0.79","0.89","0.74","0.87","0.84","0.9","Well Developed","Proficient","Proficient","Well Developed","Well Developed","Well Developed","Proficient","Proficient","Proficient","Proficient","2017-03-01T00:00:00.000","2.81","2.6","0.416","0.584","0.13","0.169","0.048"
"21K468","Kingsborough Early College School","High School","403","0.94","0.97","0.94","0.97","0.96","0.98","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","Well Developed","2019-11-01T00:00:00.000","3.29","3.05","0.474","0.526","0.007","0.171","0"
"21K525","Edward R. Murrow High School","High School","3,560","0.76","0.85","0.72","0.85","0.82","0.89","Proficient","Proficient","Developing","Well Developed","Well Developed","Well Developed","Well Developed","Proficient","Well Developed","Proficient","2018-04-01T00:00:00.000","3.05","3.16","0.57","0.43","0.087","0.185","0.045"
"21K540","John Dewey High School","High School","2,199","No Data","No Data","No Data","0.92","0.79","0.93","Proficient","Developing","Proficient","Well Developed","Proficient","Proficient","Well Developed","Proficient","Proficient","Proficient","2017-05-01T00:00:00.000","2.89","2.93","0.508","0.492","0.171","0.133","0.036"
